questions,answers,tags
"Hey, I want a black shoe","Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
"Hey, I want a black shoe","Well casual shoes at Rs 220, this offer won’t stay much",shopping
"Hey, I want a black shoe",there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
till what time this be offered?,Our shop centre will be open from 9 am-9pm in all the days,time period
till what time this be offered?,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
till what time this be offered?,We are there to provide services from Monday-sunday from 9 am-9pm,time period
till what time this be offered?,We are operating from 9 am-9 pm every day,time period
When will the shop close?,Our shop centre will be open from 9 am-9pm in all the days,time period
When will the shop close?,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
When will the shop close?,We are there to provide services from Monday-sunday from 9 am-9pm,time period
When will the shop close?,We are operating from 9 am-9 pm every day,time period
when will the shop open,Our shop centre will be open from 9 am-9pm in all the days,time period
when will the shop open,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
when will the shop open,We are there to provide services from Monday-sunday from 9 am-9pm,time period
when will the shop open,We are operating from 9 am-9 pm every day,time period
How much time it will take for delivery,Our shop centre will be open from 9 am-9pm in all the days,time period
How much time it will take for delivery,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
How much time it will take for delivery,We are there to provide services from Monday-sunday from 9 am-9pm,time period
How much time it will take for delivery,We are operating from 9 am-9 pm every day,time period
When will this site close?,Our shop centre will be open from 9 am-9pm in all the days,time period
When will this site close?,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
When will this site close?,We are there to provide services from Monday-sunday from 9 am-9pm,time period
When will this site close?,We are operating from 9 am-9 pm every day,time period
When are you people open,Our shop centre will be open from 9 am-9pm in all the days,time period
When are you people open,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
When are you people open,We are there to provide services from Monday-sunday from 9 am-9pm,time period
When are you people open,We are operating from 9 am-9 pm every day,time period
When will this store be open?,Our shop centre will be open from 9 am-9pm in all the days,time period
When will this store be open?,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
When will this store be open?,We are there to provide services from Monday-sunday from 9 am-9pm,time period
When will this store be open?,We are operating from 9 am-9 pm every day,time period
Is this store will be open at Sunday?,Our shop centre will be open from 9 am-9pm in all the days,time period
Is this store will be open at Sunday?,"Yes, we are operating on all the weekdays from 9 am to 9pm",time period
Is this store will be open at Sunday?,We are there to provide services from Monday-sunday from 9 am-9pm,time period
Is this store will be open at Sunday?,We are operating from 9 am-9 pm every day,time period
What is your location?,"We are on the intersection of state Alley and Techno Avenue, Delhi, India",location
What is your location?,"We are situated at the intersection of  state Alley and Techno Avenue in Delhi, India",location
What is your location?,"Our Address is: 1000 Techno Avenue, Delhi, India",location
Where are you located?,"We are on the intersection of state Alley and Techno Avenue, Delhi, India",location
Where are you located?,"We are situated at the intersection of  state Alley and Techno Avenue in Delhi, India",location
Where are you located?,"Our Address is: 1000 Techno Avenue, Delhi, India",location
What is your address?,"We are on the intersection of state Alley and Techno Avenue, Delhi, India",location
What is your address?,"We are situated at the intersection of  state Alley and Techno Avenue in Delhi, India",location
What is your address?,"Our Address is: 1000 Techno Avenue, Delhi, India",location
Where is your restaurant situated?,"We are on the intersection of state Alley and Techno Avenue, Delhi, India",location
Where is your restaurant situated?,"We are situated at the intersection of  state Alley and Techno Avenue in Delhi, India",location
Where is your restaurant situated?,"Our Address is: 1000 Techno Avenue, Delhi, India",location
Do you take credit cards?,"We accept VISA, Mastercard and AMEX",payments
Do you take credit cards?,We accept most major credit cards,payments
Do you accept Mastercard?,"We accept VISA, Mastercard and AMEX",payments
Do you accept Mastercard?,We accept most major credit cards,payments
Are you cash only?,"We accept VISA, Mastercard and AMEX",payments
Are you cash only?,We accept most major credit cards,payments
will you accept credit card,"We accept VISA, Mastercard and AMEX",payments
will you accept credit card,We accept most major credit cards,payments
can i pay by credit card,"We accept VISA, Mastercard and AMEX",payments
can i pay by credit card,We accept most major credit cards,payments
What is the new collections for today?,We have buy one get one offer for kurtis and shirts. Also new colour selections of traditional wears,todaysOffers
What is the new collections for today?,Our speciality for today is trendy new collections of traditional wears and also buy one get one offer for some things,todaysOffers
What new collections you have today?,We have buy one get one offer for kurtis and shirts. Also new colour selections of traditional wears,todaysOffers
What new collections you have today?,Our speciality for today is trendy new collections of traditional wears and also buy one get one offer for some things,todaysOffers
Tell me today's collection,We have buy one get one offer for kurtis and shirts. Also new colour selections of traditional wears,todaysOffers
Tell me today's collection,Our speciality for today is trendy new collections of traditional wears and also buy one get one offer for some things,todaysOffers
Do you provide delivery to home?,"Yes, we provide home delivery of the proiducts through our agents?",deliveryoption
Do you provide delivery to home?,We have home delivery options through our agents,deliveryoption
Do you deliver the clothes?,"Yes, we provide home delivery of the proiducts through our agents?",deliveryoption
Do you deliver the clothes?,We have home delivery options through our agents,deliveryoption
What are the home delivery options?,"Yes, we provide home delivery of the proiducts through our agents?",deliveryoption
What are the home delivery options?,We have home delivery options through our agents,deliveryoption
Tell me the delivery options you have,"Yes, we provide home delivery of the proiducts through our agents?",deliveryoption
Tell me the delivery options you have,We have home delivery options through our agents,deliveryoption
what is the price for a formal wear,For  a formal wear it will cost in a range of 750-2500 Rs according to your selection,price of formal wear
what is the price for a formal wear,There are a number of varieties of suits or formal wears ranging from 500-1500,price of formal wear
what is the price for a formal wear,Its not much expensive to have the same. There are several discounts available,price of formal wear
what is the price for a formal wear,it has an average cost of 1200 Rs,price of formal wear
How much will it cost to buy a formal wear,For  a formal wear it will cost in a range of 750-2500 Rs according to your selection,price of formal wear
How much will it cost to buy a formal wear,There are a number of varieties of suits or formal wears ranging from 500-1500,price of formal wear
How much will it cost to buy a formal wear,Its not much expensive to have the same. There are several discounts available,price of formal wear
How much will it cost to buy a formal wear,it has an average cost of 1200 Rs,price of formal wear
"Will it be much expensive to buy a branded suit, how much is the average cost",For  a formal wear it will cost in a range of 750-2500 Rs according to your selection,price of formal wear
"Will it be much expensive to buy a branded suit, how much is the average cost",There are a number of varieties of suits or formal wears ranging from 500-1500,price of formal wear
"Will it be much expensive to buy a branded suit, how much is the average cost",Its not much expensive to have the same. There are several discounts available,price of formal wear
"Will it be much expensive to buy a branded suit, how much is the average cost",it has an average cost of 1200 Rs,price of formal wear
what is the price for a saree,The price of saree depends upon the colour and design of the same ,price of a saree
what is the price for a saree,We have collections of trending sarees ranging from 500Rs to 10000 Rs,price of a saree
How much will it cost to buy a saree,The price of saree depends upon the colour and design of the same ,price of a saree
How much will it cost to buy a saree,We have collections of trending sarees ranging from 500Rs to 10000 Rs,price of a saree
What is the cost of a saree,The price of saree depends upon the colour and design of the same ,price of a saree
What is the cost of a saree,We have collections of trending sarees ranging from 500Rs to 10000 Rs,price of a saree
Cost of a saree,The price of saree depends upon the colour and design of the same ,price of a saree
Cost of a saree,We have collections of trending sarees ranging from 500Rs to 10000 Rs,price of a saree
Price of a saree,The price of saree depends upon the colour and design of the same ,price of a saree
Price of a saree,We have collections of trending sarees ranging from 500Rs to 10000 Rs,price of a saree
Thank you,Its my pleasure.,Thank you
Thank you,You are welcome,Thank you
Thank you,No problem. Its my pleasure to help you,Thank you
Thank you so much for your help,Its my pleasure.,Thank you
Thank you so much for your help,You are welcome,Thank you
Thank you so much for your help,No problem. Its my pleasure to help you,Thank you
Can i bargain for any product today,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
Can i bargain for any product today,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
For what product do you have bargaining offer today,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
For what product do you have bargaining offer today,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
can you bargain today,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
can you bargain today,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
can I bargain today,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
can I bargain today,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
Which product can I bargain today,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
Which product can I bargain today,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
Tell me is there a product to bargain,"Yes, we have a bargaining offer for ribbon today. Its rated price is 30 Rs",Bargain offer
Tell me is there a product to bargain,"yes, today you can bargaining for a ribbon. its rated price is 30 Rs",Bargain offer
tell me the value of a bitcoin,"1 Bitcoin equals 14,14,998.64 Indian Rupee",bitcoin
tell me the value of a bitcoin,Bitcoin is a digital or virtual currency created in 2009 that uses peer-to-peer technology to facilitate instant payments,bitcoin
tell me the value of a bitcoin,Bitcoin is a cryptocurrency created in 2009. Marketplaces called “bitcoin exchanges” allow people to buy or sell bitcoins using different currencies,bitcoin
what is bitcoin,"1 Bitcoin equals 14,14,998.64 Indian Rupee",bitcoin
what is bitcoin,Bitcoin is a digital or virtual currency created in 2009 that uses peer-to-peer technology to facilitate instant payments,bitcoin
what is bitcoin,Bitcoin is a cryptocurrency created in 2009. Marketplaces called “bitcoin exchanges” allow people to buy or sell bitcoins using different currencies,bitcoin
Can you tell more about bitcoin?,"1 Bitcoin equals 14,14,998.64 Indian Rupee",bitcoin
Can you tell more about bitcoin?,Bitcoin is a digital or virtual currency created in 2009 that uses peer-to-peer technology to facilitate instant payments,bitcoin
Can you tell more about bitcoin?,Bitcoin is a cryptocurrency created in 2009. Marketplaces called “bitcoin exchanges” allow people to buy or sell bitcoins using different currencies,bitcoin
What can be bitcoin,"1 Bitcoin equals 14,14,998.64 Indian Rupee",bitcoin
What can be bitcoin,Bitcoin is a digital or virtual currency created in 2009 that uses peer-to-peer technology to facilitate instant payments,bitcoin
What can be bitcoin,Bitcoin is a cryptocurrency created in 2009. Marketplaces called “bitcoin exchanges” allow people to buy or sell bitcoins using different currencies,bitcoin
what do you mean by bitcoin,"1 Bitcoin equals 14,14,998.64 Indian Rupee",bitcoin
what do you mean by bitcoin,Bitcoin is a digital or virtual currency created in 2009 that uses peer-to-peer technology to facilitate instant payments,bitcoin
what do you mean by bitcoin,Bitcoin is a cryptocurrency created in 2009. Marketplaces called “bitcoin exchanges” allow people to buy or sell bitcoins using different currencies,bitcoin
what is Asymmetric Information,"It is a type of market failure exists when one individual or party has much more information than another individual or party, and uses that advantage to exploit the other party.",AsymmetricInformation
what is Asymmetric Information,Finance is a market in information – often a potential borrower (such as a small business) has better information on the likelihood that they will be able to repay a loan than the lender.,AsymmetricInformation
Tell me about Asymmetric information in finance markets,"It is a type of market failure exists when one individual or party has much more information than another individual or party, and uses that advantage to exploit the other party.",AsymmetricInformation
Tell me about Asymmetric information in finance markets,Finance is a market in information – often a potential borrower (such as a small business) has better information on the likelihood that they will be able to repay a loan than the lender.,AsymmetricInformation
Do you know about Asymmetric information,"It is a type of market failure exists when one individual or party has much more information than another individual or party, and uses that advantage to exploit the other party.",AsymmetricInformation
Do you know about Asymmetric information,Finance is a market in information – often a potential borrower (such as a small business) has better information on the likelihood that they will be able to repay a loan than the lender.,AsymmetricInformation
What can be Asymmetric information,"It is a type of market failure exists when one individual or party has much more information than another individual or party, and uses that advantage to exploit the other party.",AsymmetricInformation
What can be Asymmetric information,Finance is a market in information – often a potential borrower (such as a small business) has better information on the likelihood that they will be able to repay a loan than the lender.,AsymmetricInformation
what do you mean by Asymmetric information,"It is a type of market failure exists when one individual or party has much more information than another individual or party, and uses that advantage to exploit the other party.",AsymmetricInformation
what do you mean by Asymmetric information,Finance is a market in information – often a potential borrower (such as a small business) has better information on the likelihood that they will be able to repay a loan than the lender.,AsymmetricInformation
what is bail-out,A bail-out happens when a government buys an equity stake in a bank or some other form of financial support to prevent it from failing,bail-out
what is bail-out,Critics of bail-outs argue that it can increase the burden facing taxpayers and also increase the risk of moral hazard.Supporters of bail-outs claim that they are sometimes necessary during a financial crisis to help reduce systemic risk.,bail-out
what is bail-out, Bail outs have become prominent once again because of the economic and social consequences of the coronavirus crisis.,bail-out
Do you know about bail-out in financial markets,A bail-out happens when a government buys an equity stake in a bank or some other form of financial support to prevent it from failing,bail-out
Do you know about bail-out in financial markets,Critics of bail-outs argue that it can increase the burden facing taxpayers and also increase the risk of moral hazard.Supporters of bail-outs claim that they are sometimes necessary during a financial crisis to help reduce systemic risk.,bail-out
Do you know about bail-out in financial markets, Bail outs have become prominent once again because of the economic and social consequences of the coronavirus crisis.,bail-out
Tell me about bailout,A bail-out happens when a government buys an equity stake in a bank or some other form of financial support to prevent it from failing,bail-out
Tell me about bailout,Critics of bail-outs argue that it can increase the burden facing taxpayers and also increase the risk of moral hazard.Supporters of bail-outs claim that they are sometimes necessary during a financial crisis to help reduce systemic risk.,bail-out
Tell me about bailout, Bail outs have become prominent once again because of the economic and social consequences of the coronavirus crisis.,bail-out
What does critics and supporter say about bail-out,A bail-out happens when a government buys an equity stake in a bank or some other form of financial support to prevent it from failing,bail-out
What does critics and supporter say about bail-out,Critics of bail-outs argue that it can increase the burden facing taxpayers and also increase the risk of moral hazard.Supporters of bail-outs claim that they are sometimes necessary during a financial crisis to help reduce systemic risk.,bail-out
What does critics and supporter say about bail-out, Bail outs have become prominent once again because of the economic and social consequences of the coronavirus crisis.,bail-out
bail-out,A bail-out happens when a government buys an equity stake in a bank or some other form of financial support to prevent it from failing,bail-out
bail-out,Critics of bail-outs argue that it can increase the burden facing taxpayers and also increase the risk of moral hazard.Supporters of bail-outs claim that they are sometimes necessary during a financial crisis to help reduce systemic risk.,bail-out
bail-out, Bail outs have become prominent once again because of the economic and social consequences of the coronavirus crisis.,bail-out
what is a balance sheet,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
what is a balance sheet,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
what is a balance sheet,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
Tell me about Balance sheet,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
Tell me about Balance sheet,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
Tell me about Balance sheet,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
Do you know Balance sheet?,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
Do you know Balance sheet?,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
Do you know Balance sheet?,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
Balance sheet,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
Balance sheet,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
Balance sheet,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
What can be Balance sheet,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
What can be Balance sheet,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
What can be Balance sheet,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
what do you mean by Balance sheet,"A record of the assets, liabilities, and net worth of an economic actor such as a household, commercial or central bank, firm, or government",Balance sheet
what do you mean by Balance sheet,"A balance sheet is a financial statement that reports a company's assets, liabilities and shareholders' equity.",Balance sheet
what do you mean by Balance sheet,The balance sheet is one of the three (income statement and statement of cash flows being the other two) core financial statements used to evaluate a business.,Balance sheet
what is a bank,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
What exactly bank does,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
can you tell me about bank,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
bank,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
What can be bank,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
what do you mean by bank,A bank in simple terms is a business that makes its profit by paying interest to those who keep money there and charging a higher rate of interest to people/businesses who borrow money from the bank,bank
what are bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
Tell me about bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
what is bank asset,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
what is mean by bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
What can be bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
what do you mean by bank assets,"Assets are “owned” by the bank e.g. cash, balances at Bank of England, loans (Advances), securities (e.g. Bonds) and fixed assets.",bank assests
what is mean by bank capital?,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
do you know bank capital?,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
what is bank capital,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
bank capital,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
Tell me about Bank capital,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
What can be Bank capital,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
what do you mean by Bank capital,"Bank capital is the value of the bank's assets minus its liabilities, or debts.",Bank capital
what is mean by bond market?,The bond market broadly describes a marketplace where investors buy debt securities that are brought to the market by either governmental entities or publicly-traded corporations,Bond market
what is mean by bond market?,The market for interest-bearing securities (with either a fixed or a floating rate and with a maturity of at least one year) that companies and governments issue to raise capital for investment.,Bond market
do you know bond market?,The bond market broadly describes a marketplace where investors buy debt securities that are brought to the market by either governmental entities or publicly-traded corporations,Bond market
do you know bond market?,The market for interest-bearing securities (with either a fixed or a floating rate and with a maturity of at least one year) that companies and governments issue to raise capital for investment.,Bond market
what is bond market?,The bond market broadly describes a marketplace where investors buy debt securities that are brought to the market by either governmental entities or publicly-traded corporations,Bond market
what is bond market?,The market for interest-bearing securities (with either a fixed or a floating rate and with a maturity of at least one year) that companies and governments issue to raise capital for investment.,Bond market
Bond Market,The bond market broadly describes a marketplace where investors buy debt securities that are brought to the market by either governmental entities or publicly-traded corporations,Bond market
Bond Market,The market for interest-bearing securities (with either a fixed or a floating rate and with a maturity of at least one year) that companies and governments issue to raise capital for investment.,Bond market
What can be Bond Market,The bond market broadly describes a marketplace where investors buy debt securities that are brought to the market by either governmental entities or publicly-traded corporations,Bond market
